Experiment,Run,Decrement,Strategy,PI,RS
2,51,FALSE,Revealers,6439.18,7.02
2,52,FALSE,Concealers,7788.74,7.48
2,52,FALSE,Revealers,6977.56,7.14
2,53,FALSE,Concealers,7634.38,7.64
2,53,FALSE,Revealers,8119.74,7.82
2,54,FALSE,Concealers,7186.64,7.34
2,54,FALSE,Revealers,7099.22,7.22
2,55,FALSE,Concealers,7645.82,7.48
2,55,FALSE,Revealers,6525.04,7.06
2,56,FALSE,Concealers,7023.48,7.3
2,56,FALSE,Revealers,6402,6.92
2,57,FALSE,Concealers,7014.6,7.18
2,57,FALSE,Revealers,7379.46,7.36
2,58,FALSE,Concealers,7604.46,7.3
2,58,FALSE,Revealers,6866.6,7.18
2,59,FALSE,Concealers,7382.48,7.24
2,59,FALSE,Revealers,6929.78,7.18
2,60,FALSE,Concealers,7477.32,7.46
2,60,FALSE,Revealers,7430.46,7.38
2,61,FALSE,Concealers,7392.4,7.48
2,61,FALSE,Revealers,8083.04,7.76
2,62,FALSE,Concealers,7341.78,7.44
2,62,FALSE,Revealers,7194.42,7.24
2,63,FALSE,Concealers,7226.38,7.32
2,63,FALSE,Revealers,7681.24,7.54
2,64,FALSE,Concealers,7228,7.34
2,64,FALSE,Revealers,7557.36,7.48
2,65,FALSE,Concealers,7026.92,7.18
2,65,FALSE,Revealers,7455.16,7.46
2,66,FALSE,Concealers,6972.68,7.2
2,66,FALSE,Revealers,7032.3,7.24
2,67,FALSE,Concealers,6746.98,7.1
2,67,FALSE,Revealers,7359.68,7.28
2,68,FALSE,Concealers,7045.82,7.2
2,68,FALSE,Revealers,7126.52,7.2
2,69,FALSE,Concealers,7025.3,7.28
2,69,FALSE,Revealers,7049.62,7.22
2,70,FALSE,Concealers,7334.82,7.54
2,70,FALSE,Revealers,7048.92,7.22
2,71,FALSE,Concealers,7746.66,7.52
2,71,FALSE,Revealers,6373.02,6.88
2,72,FALSE,Concealers,7519.24,7.48
2,72,FALSE,Revealers,6820,7.22
2,73,FALSE,Concealers,7696.44,7.56
2,73,FALSE,Revealers,7294.1,7.38
2,74,FALSE,Concealers,7265.38,7.34
2,74,FALSE,Revealers,6767.4,7.12
2,75,FALSE,Concealers,7576.96,7.5
2,75,FALSE,Revealers,7528.26,7.52
2,76,FALSE,Concealers,7520.86,7.4
2,76,FALSE,Revealers,7087.22,7.32
2,77,FALSE,Concealers,7311.04,7.42
2,77,FALSE,Revealers,7464.4,7.48
2,78,FALSE,Concealers,7137.2,7.26
2,78,FALSE,Revealers,7062.06,7.24
2,79,FALSE,Concealers,6969.8,7.18
2,79,FALSE,Revealers,6407.42,6.94
2,80,FALSE,Concealers,6982.36,7.22
2,80,FALSE,Revealers,7509.02,7.44
2,81,FALSE,Concealers,8276.08,7.86
2,81,FALSE,Revealers,7666.36,7.36
2,82,FALSE,Concealers,7648.26,7.48
2,82,FALSE,Revealers,7238.04,7.3
2,83,FALSE,Concealers,7154.98,7.32
2,83,FALSE,Revealers,7222.98,7.34
2,84,FALSE,Concealers,7168.16,7.28
2,84,FALSE,Revealers,6784.06,7.08
2,85,FALSE,Concealers,7700.66,7.6
2,85,FALSE,Revealers,6837.88,7.2
2,86,FALSE,Concealers,6426.92,6.98
2,86,FALSE,Revealers,8026.08,7.68
2,87,FALSE,Concealers,7202.16,7.32
2,87,FALSE,Revealers,7734.58,7.52
2,88,FALSE,Concealers,7126.66,7.36
2,88,FALSE,Revealers,7293.5,7.3
2,89,FALSE,Concealers,7691.8,7.58
2,89,FALSE,Revealers,7099.46,7.34
2,90,FALSE,Concealers,6235.86,6.94
